2026-09-22 18:34:03,Oficial,1485,1535
2026-09-22 18:34:03,Blue,1535,1555
2026-09-22 18:34:03,Bolsa,1530.4,1536.6
2026-09-22 18:34:03,Contado con liquidación,1594.6,1598.3
2026-09-22 18:34:03,Mayorista,1506,1515
2026-09-22 18:34:03,Cripto,1589.48,1593.58
2026-09-22 18:34:03,Tarjeta,1930.5,1995.5
2026-09-22 18:35:25,Oficial,1485,1535
2026-09-22 18:35:25,Blue,1535,1555
2026-09-22 18:35:25,Bolsa,1530.4,1536.6
2026-09-22 18:35:25,Contado con liquidación,1594.6,1598.3
2026-09-22 18:35:25,Mayorista,1506,1515
2026-09-22 18:35:25,Cripto,1589.48,1593.58
2026-09-22 18:35:25,Tarjeta,1930.5,1995.5
2026-09-22 19:31:51,Oficial,1485,1535
2026-09-22 19:31:51,Blue,1535,1555
2026-09-22 19:31:51,Bolsa,1530.4,1536.6
2026-09-22 19:31:51,Contado con liquidación,1594.6,1598.3
2026-09-22 19:31:51,Mayorista,1506,1515
2026-09-22 19:31:51,Cripto,1589.48,1593.58
2026-09-22 19:31:51,Tarjeta,1930.5,1995.5
2026-09-22 19:35:30,Oficial,1485,1535
2026-09-22 19:35:30,Blue,1535,1555
2026-09-22 19:35:30,Bolsa,1530.4,1536.6
2026-09-22 19:35:30,Contado con liquidación,1594.6,1598.3
2026-09-22 19:35:30,Mayorista,1506,1515
2026-09-22 19:35:30,Cripto,1589.48,1593.58
2026-09-22 19:35:30,Tarjeta,1930.5,1995.5
2026-09-22 19:38:49,Oficial,1485,1535
2026-09-22 19:38:49,Blue,1535,1555
2026-09-22 19:38:49,Bolsa,1530.4,1536.6
2026-09-22 19:38:49,Contado con liquidación,1594.6,1598.3
2026-09-22 19:38:49,Mayorista,1506,1515
2026-09-22 19:38:49,Cripto,1589.48,1593.58
2026-09-22 19:38:49,Tarjeta,1930.5,1995.5
